_id,OCCUPANCY_DATE,ORGANIZATION_ID,ORGANIZATION_NAME,SHELTER_ID,SHELTER_GROUP,LOCATION_ID,LOCATION_NAME,LOCATION_ADDRESS,LOCATION_POSTAL_CODE,LOCATION_CITY,LOCATION_PROVINCE,PROGRAM_ID,PROGRAM_NAME,SECTOR,PROGRAM_MODEL,OVERNIGHT_SERVICE_TYPE,PROGRAM_AREA,SERVICE_USER_COUNT,CAPACITY_TYPE,CAPACITY_ACTUAL_BED,CAPACITY_FUNDING_BED,OCCUPIED_BEDS,UNOCCUPIED_BEDS,UNAVAILABLE_BEDS,CAPACITY_ACTUAL_ROOM,CAPACITY_FUNDING_ROOM,OCCUPIED_ROOMS,UNOCCUPIED_ROOMS,UNAVAILABLE_ROOMS,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS
7513781,2022-01-08,22,Street Haven At The Crossroads,36,Street Haven,1045,Street Haven,87 Pembroke St,M5A 2N9,Toronto,ON,12195,Street Haven - Emergency Hostel,Women,Emergency,Shelter,Base Shelter and Overnight Services System,26,Bed Based Capacity,26.0,28.0,26.0,0.0,2.0,,,,,,100.0,
7513782,2022-01-08,22,Street Haven At The Crossroads,36,Street Haven,1180,Street Haven Downtown Hotel Program,26 Gerrard St E,M5B 1G3,Toronto,ON,15972,Street Haven Hotel Program,Women,Emergency,Motel/Hotel Shelter,COVID-19 Response,47,Room Based Capacity,,,,,,33.0,34.0,33.0,0.0,1.0,,100.0
7513783,2022-01-08,28,The MUC Shelter Corporation,47,Sojourn House,1132,Sojourn House Hotel Program,165 Grange Ave,M5T 2V5,Toronto,ON,14251,Sojourn House - Refugee Family Hotel Program,Families,Transitional,Shelter,Base Shelter and Overnight Services System,218,Room Based Capacity,,,,,,63.0,75.0,62.0,1.0,12.0,,98.41
7513784,2022-01-08,28,The MUC Shelter Corporation,47,Sojourn House,1059,Sojourn House Ontario St,101 Ontario St,M5A 2V2,Toronto,ON,12273,Sojourn House Bedded Program,Mixed Adult,Emergency,Shelter,Base Shelter and Overnight Services System,67,Bed Based Capacity,67.0,67.0,67.0,0.0,0.0,,,,,,100.0,
7513785,2022-01-08,28,The MUC Shelter Corporation,47,Sojourn House,1059,Sojourn House Ontario St,101 Ontario St,M5A 2V2,Toronto,ON,12871,Sojourn House Transitional Housing Program,Families,Transitional,Shelter,Base Shelter and Overnight Services System,61,Room Based Capacity,,,,,,23.0,28.0,21.0,2.0,5.0,,91.3
7513786,2022-01-08,7,The Salvation Army of Canada,28,Salvation Army - Evangeline Res,1036,SA Evangeline Residence,2808 Dundas St W,M6P 1Y5,Toronto,ON,12053,Salvation Army - Evangeline Residence - Women's Ministry,Women,Emergency,Shelter,Base Shelter and Overnight Services System,47,Bed Based Capacity,48.0,49.0,47.0,1.0,1.0,,,,,,97.92,
7513787,2022-01-08,7,The Salvation Army of Canada,11,Salvation Army - Florence Booth,1175,SA North Hotel Program,30 Norfinch Dr,M3N 1X1,North York,ON,15811,Salvation Army Florence Booth Hotel Program,Women,Emergency,Motel/Hotel Shelter,COVID-19 Response,73,Room Based Capacity,,,,,,73.0,73.0,73.0,0.0,0.0,,100.0
7513788,2022-01-08,7,The Salvation Army of Canada,29,Salvation Army - Gateway,1037,SA Gateway,107 Jarvis St,M5C 2H4,Toronto,ON,12071,Salvation Army - Gateway - Men's Hostel,Men,Emergency,Shelter,Base Shelter and Overnight Services System,50,Bed Based Capacity,50.0,54.0,50.0,0.0,4.0,,,,,,100.0,
7513789,2022-01-08,7,The Salvation Army of Canada,45,Salvation Army - Maxwell Meighen,1166,SA Scarborough Hotel Program,50 Estate Dr,M1H 2Z1,Scarborough,ON,15491,SA Scarborough Hotel - Men's Program,Men,Emergency,Motel/Hotel Shelter,COVID-19 Response,126,Room Based Capacity,,,,,,126.0,131.0,126.0,0.0,5.0,,100.0
7513790,2022-01-08,7,The Salvation Army of Canada,45,Salvation Army - Maxwell Meighen,1057,Maxwell Meighen Centre,135 Sherbourne St,M5A 2R5,Toronto,ON,12258,Salvation Army - Maxwell Meighen - Men's Hostel,Men,Emergency,Shelter,Base Shelter and Overnight Services System,212,Bed Based Capacity,234.0,234.0,212.0,22.0,0.0,,,,,,90.6,
7513791,2022-01-08,7,The Salvation Army of Canada,73,Salvation Army - New Hope Leslie,1126,SA New Hope Leslieville,29A Leslie St,M4M 3C3,Toronto,ON,14091,Salvation Army - New Hope - Men's Hostel,Men,Emergency,Shelter,Base Shelter and Overnight Services System,34,Bed Based Capacity,34.0,36.0,34.0,0.0,2.0,,,,,,100.0,
7513792,2022-01-08,7,The Salvation Army of Canada,73,Salvation Army - New Hope Leslie,1175,SA North Hotel Program,30 Norfinch Dr,M3N 1X1,North York,ON,15871,Salvation Army New Hope Hotel Program,Men,Emergency,Motel/Hotel Shelter,COVID-19 Response,73,Room Based Capacity,,,,,,73.0,77.0,73.0,0.0,4.0,,100.0
7513793,2022-01-08,7,The Salvation Army of Canada,77,Salvation Army Islington Seniors,1146,SA Islington Seniors' Shelter,2671 Islington Ave,M9V 2X6,Toronto,ON,14571,Salvation Army - Islington Seniors' Shelter Men's Program,Men,Emergency,Shelter,Base Shelter and Overnight Services System,34,Bed Based Capacity,34.0,39.0,34.0,0.0,5.0,,,,,,100.0,
7513794,2022-01-08,7,The Salvation Army of Canada,77,Salvation Army Islington Seniors,1146,SA Islington Seniors' Shelter,2671 Islington Ave,M9V 2X6,Toronto,ON,14572,Salvation Army - Islington Seniors' Shelter Women's Program,Women,Emergency,Shelter,Base Shelter and Overnight Services System,27,Bed Based Capacity,27.0,30.0,27.0,0.0,3.0,,,,,,100.0,
7513795,2022-01-08,5,The Scott Mission Inc.,8,Scott Mission Men's Ministry,1014,Scott Mission,502 Spadina Ave,M5S 2H1,Toronto,ON,11891,Scott Mission - Men's Ministry Overnight Program,Men,Emergency,Shelter,Base Shelter and Overnight Services System,40,Bed Based Capacity,40.0,40.0,40.0,0.0,0.0,,,,,,100.0,
7513796,2022-01-08,29,Toronto Community Hostel,48,Toronto Community Hostel,1120,Toronto Community Hostel (MUC),191 Spadina Rd,M5R 2T9,Toronto,ON,12274,Toronto Community Hostel (Families),Families,Emergency,Shelter,Base Shelter and Overnight Services System,10,Room Based Capacity,,,,,,3.0,3.0,3.0,0.0,0.0,,100.0
7513797,2022-01-08,29,Toronto Community Hostel,48,Toronto Community Hostel,1120,Toronto Community Hostel (MUC),191 Spadina Rd,M5R 2T9,Toronto,ON,13932,Toronto Community Hostel (Singles),Mixed Adult,Emergency,Shelter,Base Shelter and Overnight Services System,6,Bed Based Capacity,6.0,6.0,6.0,0.0,0.0,,,,,,100.0,
7513798,2022-01-08,20,Turning Point Youth Services,33,Turning Point Youth Services,1041,Turning Point Youth Services ,95 Wellesley St E,M4Y 2X9,Toronto,ON,12151,Turning Point Youth Services Shelter,Youth,Emergency,Shelter,Base Shelter and Overnight Services System,13,Bed Based Capacity,13.0,16.0,13.0,0.0,3.0,,,,,,100.0,
7513799,2022-01-08,36,Warden Woods Community Centre,71,Scarborough Cold Weather Drop-IN,1115,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,M1H 2X1,Toronto,ON,15091,Warden Woods 705 Progress Ave Respite,Mixed Adult,Emergency,24-Hour Respite Site,Base Shelter and Overnight Services System,25,Bed Based Capacity,28.0,37.0,25.0,3.0,9.0,,,,,,89.29,
7513800,2022-01-08,16,Women's Hostels Inc.,27,Nellie's,1035,Nellie's Women's Shelter,,,,,12051,Nellie's Women's Shelter,Women,Emergency,Shelter,Base Shelter and Overnight Services System,1,Bed Based Capacity,1.0,5.0,1.0,0.0,4.0,,,,,,100.0,
7513801,2022-01-08,4,WoodGreen Red Door Family Shelter,7,Red Door Family Shelter,1001,Red Door Family Shelter,189B Booth Ave,M4M 2M5,Toronto,ON,11791,Red Door - Family Shelter,Families,Emergency,Shelter,Base Shelter and Overnight Services System,79,Room Based Capacity,,,,,,25.0,27.0,25.0,0.0,2.0,,100.0
7513802,2022-01-08,3,YMCA of Greater Toronto,5,YMCA House,1096,Vanauley Street YMCA Emergency Shelter,7 Vanauley St,M5T 2V9,Toronto,ON,13291,YMCA House-Vanauley,Youth,Emergency,Shelter,Base Shelter and Overnight Services System,17,Bed Based Capacity,19.0,19.0,17.0,2.0,0.0,,,,,,89.47,
7513803,2022-01-08,3,YMCA of Greater Toronto,5,YMCA House,1198,Multiple Youth Agencies Downtown Hotel Program,92 Peter St,M5V 2G5,Toronto,ON,15591,YMCA Youth Hotel Program,Youth,Emergency,Motel/Hotel Shelter,COVID-19 Response,28,Room Based Capacity,,,,,,28.0,28.0,28.0,0.0,0.0,,100.0
7513804,2022-01-08,3,YMCA of Greater Toronto,64,YMCA Sprott House,1101,YMCA Sprott House ,21 Walmer Rd,M5R 2W7,Toronto,ON,13451,YMCA Sprott House,Youth,Transitional,Shelter,Base Shelter and Overnight Services System,21,Bed Based Capacity,25.0,25.0,21.0,4.0,0.0,,,,,,84.0,
7513805,2022-01-08,17,YWCA Toronto,50,YWCA - First Stop Woodlawn,1062,YWCA 1st Stop Woodlawn ,80 Woodlawn Ave E,M4T 1C1,Toronto,ON,12277,YWCA - Adult Women Shelter,Women,Emergency,Shelter,Base Shelter and Overnight Services System,25,Bed Based Capacity,25.0,25.0,25.0,0.0,0.0,,,,,,100.0,
7513806,2022-01-08,17,YWCA Toronto,50,YWCA - First Stop Woodlawn,1062,YWCA 1st Stop Woodlawn ,80 Woodlawn Ave E,M4T 1C1,Toronto,ON,12278,YWCA - Youth Shelter,Youth,Emergency,Shelter,Base Shelter and Overnight Services System,20,Bed Based Capacity,24.0,24.0,20.0,4.0,0.0,,,,,,83.33,
7513807,2022-01-08,17,YWCA Toronto,78,YWCA-348 Davenport,1129,YWCA Davenport Shelter,348 Davenport Road,M5R 1K6,Toronto,ON,14651,YWCA Davenport - Adult,Women,Emergency,Shelter,Base Shelter and Overnight Services System,17,Bed Based Capacity,19.0,19.0,17.0,2.0,0.0,,,,,,89.47,
7513808,2022-01-08,17,YWCA Toronto,78,YWCA-348 Davenport,1129,YWCA Davenport Shelter,348 Davenport Road,M5R 1K6,Toronto,ON,14671,YWCA Davenport - Youth,Youth,Emergency,Shelter,Base Shelter and Overnight Services System,5,Bed Based Capacity,20.0,20.0,5.0,15.0,0.0,,,,,,25.0,
7513809,2022-01-08,31,Youth Without Shelter,52,Youth Without Shelter,1064,Youth Without Shelter ,6 Warrendale Ct,M9V 1P9,Etobicoke,ON,12292,Youth without Shelter Emergency Shelter Program,Youth,Emergency,Shelter,Base Shelter and Overnight Services System,23,Bed Based Capacity,23.0,23.0,23.0,0.0,0.0,,,,,,100.0,
7513810,2022-01-08,31,Youth Without Shelter,52,Youth Without Shelter,1064,Youth Without Shelter ,6 Warrendale Ct,M9V 1P9,Etobicoke,ON,12291,Youth without Shelter Stay In School Program,Youth,Transitional,Shelter,Base Shelter and Overnight Services System,13,Bed Based Capacity,14.0,14.0,13.0,1.0,0.0,,,,,,92.86,
7513811,2022-01-08,38,YouthLink,81,YouthLink Shelter,1147,YouthLink ,747 Warden Ave,M1L 4A1,Scarborough,ON,14891,YouthLink Emergency Program,Mixed Adult,Emergency,Shelter,Base Shelter and Overnight Services System,9,Bed Based Capacity,10.0,10.0,9.0,1.0,0.0,,,,,,90.0,
7513812,2022-01-08,38,YouthLink,81,YouthLink Shelter,1147,YouthLink ,747 Warden Ave,M1L 4A1,Scarborough,ON,14911,YouthLink Transitional Program,Mixed Adult,Transitional,Shelter,Base Shelter and Overnight Services System,29,Bed Based Capacity,29.0,31.0,29.0,0.0,2.0,,,,,,100.0,
7513813,2022-01-09,24,COSTI Immigrant Services,40,COSTI Reception Centre,1103,SSHA North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,16192,COSTI North York West Hotel Program - Men,Men,Emergency,Motel/Hotel Shelter,COVID-19 Response,50,Room Based Capacity,,,,,,49.0,55.0,49.0,0.0,6.0,,100.0
7513814,2022-01-09,24,COSTI Immigrant Services,40,COSTI Reception Centre,1103,SSHA North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,16191,COSTI North York West Hotel Program - Mixed Adult,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,20,Room Based Capacity,,,,,,10.0,15.0,10.0,0.0,5.0,,100.0
7513815,2022-01-09,24,COSTI Immigrant Services,40,COSTI Reception Centre,1103,SSHA North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,16193,COSTI North York West Hotel Program - Women,Women,Emergency,Motel/Hotel Shelter,COVID-19 Response,16,Room Based Capacity,,,,,,16.0,29.0,16.0,0.0,13.0,,100.0
7513816,2022-01-09,24,COSTI Immigrant Services,40,COSTI Reception Centre,1051,COSTI Reception Centre,100 Lippincott St,M5S 2P1,Toronto,ON,12251,COSTI Reception Centre CITY Program,Mixed Adult,Emergency,Shelter,Base Shelter and Overnight Services System,8,Bed Based Capacity,8.0,8.0,8.0,0.0,0.0,,,,,,100.0,
7513817,2022-01-09,24,COSTI Immigrant Services,40,COSTI Reception Centre,1114,COSTI Uptown Hotel Program,55 Hallcrown Pl,M2J 4R1,North York,ON,15372,COSTI Uptown Hotel COVID-19 - Family Program,Families,Emergency,Motel/Hotel Shelter,COVID-19 Response,265,Room Based Capacity,,,,,,96.0,113.0,95.0,1.0,17.0,,98.96
7513818,2022-01-09,24,COSTI Immigrant Services,40,COSTI Reception Centre,1114,COSTI Uptown Hotel Program,55 Hallcrown Pl,M2J 4R1,North York,ON,13751,COSTI Uptown Hotel Family Program,Families,Emergency,Motel/Hotel Shelter,Temporary Refugee Response,327,Room Based Capacity,,,,,,104.0,107.0,104.0,0.0,3.0,,100.0
7513819,2022-01-09,24,COSTI Immigrant Services,40,COSTI Reception Centre,1114,COSTI Uptown Hotel Program,55 Hallcrown Pl,M2J 4R1,North York,ON,16535,COSTI Uptown Hotel Program - Refugee Singles,Mixed Adult,Emergency,Motel/Hotel Shelter,Temporary Refugee Response,13,Room Based Capacity,,,,,,13.0,13.0,13.0,0.0,0.0,,100.0
7513820,2022-01-09,14,Christie Ossington Neighbourhood Centre,22,Christie Ossington Men's Hostel,1160,CONC Etobicoke Hotel Program,445 Rexdale Blvd,M9W 6P8,Etobicoke,ON,16111,CONC Etobicoke Hotel Program - Mixed Adult,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,147,Room Based Capacity,,,,,,143.0,155.0,143.0,0.0,12.0,,100.0
7513821,2022-01-09,14,Christie Ossington Neighbourhood Centre,22,Christie Ossington Men's Hostel,1172,CONC West End Hotel Program,14 Roncesvalles Ave,M6R 2K3,Toronto,ON,15711,CONC Men's Hotel Program,Men,Emergency,Motel/Hotel Shelter,COVID-19 Response,39,Room Based Capacity,,,,,,39.0,40.0,39.0,0.0,1.0,,100.0
7513822,2022-01-09,14,Christie Ossington Neighbourhood Centre,22,Christie Ossington Men's Hostel,1029,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,M6H 3Z5,Toronto,ON,12011,Christie Ossington Men's Hostel,Men,Emergency,Shelter,Base Shelter and Overnight Services System,32,Bed Based Capacity,33.0,33.0,32.0,1.0,0.0,,,,,,96.97,
7513823,2022-01-09,14,Christie Ossington Neighbourhood Centre,22,Christie Ossington Men's Hostel,1102,CONC Men's Shelter Bloor St W,850 Bloor St W,M6G 1M2,Toronto,ON,13611,Christie Ossington Men's Hostel South,Men,Emergency,Shelter,Base Shelter and Overnight Services System,15,Bed Based Capacity,15.0,15.0,15.0,0.0,0.0,,,,,,100.0,
7513824,2022-01-09,23,"Christie Refugee Welcome Centre, Inc.",39,Christie Refugee Welcome Centre,1052,Christie Refugee Welcome Centre,43 Christie St,M6G 3B1,Toronto,ON,12233,Christie Refugee Welcome Centre - Settlement and Support,Families,Emergency,Shelter,Base Shelter and Overnight Services System,57,Room Based Capacity,,,,,,21.0,30.0,21.0,0.0,9.0,,100.0
7513825,2022-01-09,1,City of Toronto,53,Birkdale Residence,1070,SSHA Birkdale Residence,1229 Ellesmere Rd,M1P 4V8,Toronto,ON,12351,Birkdale Residence - Bedded Program,Families,Emergency,Shelter,Base Shelter and Overnight Services System,214,Room Based Capacity,,,,,,63.0,65.0,63.0,0.0,2.0,,100.0
7513826,2022-01-09,1,City of Toronto,53,Birkdale Residence,1103,SSHA North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,16311,SSHA North York West Hotel Program - Couples,Families,Emergency,Motel/Hotel Shelter,COVID-19 Response,24,Room Based Capacity,,,,,,12.0,14.0,12.0,0.0,2.0,,100.0
7513827,2022-01-09,1,City of Toronto,53,Birkdale Residence,1103,SSHA North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,16271,SSHA North York West Hotel Program - Mixed Adult,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,76,Room Based Capacity,,,,,,76.0,77.0,76.0,0.0,1.0,,100.0
7513828,2022-01-09,1,City of Toronto,60,Downsview Dells,1009,SSHA Downsview Dells,1651 Sheppard Ave W,M3M 2X4,Toronto,ON,11815,Downsview Dells Bedded Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,11,Bed Based Capacity,12.0,12.0,11.0,1.0,0.0,,,,,,91.67,
7513829,2022-01-09,1,City of Toronto,83,Expansion  Sites,1181,SSHA Roehampton Hotel Program,808 Mt Pleasant Rd,M4P 2L2,Toronto,ON,15991,Roehampton Residence,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,126,Room Based Capacity,,,,,,69.0,86.0,69.0,0.0,17.0,,100.0
7513830,2022-01-09,1,City of Toronto,83,Expansion  Sites,1194,Scarborough Women's Shelter - Milner,20 Milner Business Ct,M1B 3M6,Scarborough,ON,16471,Scarborough Women's Shelter - Milner,Women,Emergency,Motel/Hotel Shelter,COVID-19 Response,100,Room Based Capacity,,,,,,100.0,100.0,100.0,0.0,0.0,,100.0
7513831,2022-01-09,1,City of Toronto,2,Family Residence,1065,SSHA Family Residence,4222 Kingston Rd,M1E 2M6,Toronto,ON,12311,Family Residence - Main Program,Families,Emergency,Shelter,Base Shelter and Overnight Services System,155,Room Based Capacity,,,,,,43.0,43.0,43.0,0.0,0.0,,100.0
7513832,2022-01-09,1,City of Toronto,2,Family Residence,1065,SSHA Family Residence,4222 Kingston Rd,M1E 2M6,Toronto,ON,16232,Family Residence - Main Site - Winter Program,Families,Emergency,Shelter,COVID-19 Response,2,Bed Based Capacity,2.0,20.0,2.0,0.0,18.0,,,,,,100.0,
7513833,2022-01-09,1,City of Toronto,2,Family Residence,1066,SSHA Scarborough Hotel Program 3,4674 Kingston Rd,M1E 2P9,Toronto,ON,12392,SSHA Scarborough Hotel 3 - Family Program,Families,Emergency,Motel/Hotel Shelter,Base Shelter and Overnight Services System,115,Room Based Capacity,,,,,,40.0,63.0,40.0,0.0,23.0,,100.0
7513834,2022-01-09,1,City of Toronto,2,Family Residence,1066,SSHA Scarborough Hotel Program 3,4674 Kingston Rd,M1E 2P9,Toronto,ON,16231,SSHA Scarborough Hotel 3 - Mixed Adult Winter Program,Families,Emergency,Motel/Hotel Shelter,COVID-19 Response,5,Room Based Capacity,,,,,,5.0,10.0,5.0,0.0,5.0,,100.0
7513835,2022-01-09,1,City of Toronto,2,Family Residence,1067,SSHA Scarborough Hotel Program 4,4540 Kingston Rd,M1E 2N8,Toronto,ON,12391,SSHA Scarborough Hotel 4 - Family Program,Families,Emergency,Motel/Hotel Shelter,Base Shelter and Overnight Services System,43,Room Based Capacity,,,,,,19.0,20.0,19.0,0.0,1.0,,100.0
7513836,2022-01-09,1,City of Toronto,62,Fort York Residence,1011,SSHA Fort York Residence,38 Bathurst St,M5V 3W3,Toronto,ON,11831,Fort York Residence Bedded Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,36,Bed Based Capacity,36.0,37.0,36.0,0.0,1.0,,,,,,100.0,
7513837,2022-01-09,1,City of Toronto,62,Fort York Residence,1123,SSHA North Hotel Program,3600 Steeles Ave W,L4L 8P5,Vaughan,ON,14051,Fort York Residence North Hotel Program,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,64,Room Based Capacity,,,,,,67.0,51.0,60.0,7.0,0.0,,89.55
7513838,2022-01-09,1,City of Toronto,62,Fort York Residence,1011,SSHA Fort York Residence,38 Bathurst St,M5V 3W3,Toronto,ON,12711,Fort York SRO Units Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,24,Bed Based Capacity,24.0,24.0,24.0,0.0,0.0,,,,,,100.0,
7513839,2022-01-09,1,City of Toronto,54,Robertson House,1069,Robertson House,291 Sherbourne St,M5A 2R9,Toronto,ON,12331,Robertson House - Main Program,Families,Emergency,Shelter,Base Shelter and Overnight Services System,90,Room Based Capacity,,,,,,35.0,37.0,35.0,0.0,2.0,,100.0
7513840,2022-01-09,1,City of Toronto,82,SSHA Etobicoke Hotel Program,1163,SSHA Etobicoke Hotel Program,,,,,16551,SSHA Etobicoke Hotel Program,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,65,Room Based Capacity,,,,,,71.0,82.0,58.0,13.0,11.0,,81.69
7513841,2022-01-09,1,City of Toronto,82,SSHA Etobicoke Hotel Program,1163,SSHA Etobicoke Hotel Program,,,,,16058,SSHA Isolation Program,Mixed Adult,Emergency,Isolation/Recovery Site,COVID-19 Response,1,Room Based Capacity,,,,,,8.0,30.0,1.0,7.0,22.0,,12.5
7513842,2022-01-09,1,City of Toronto,82,SSHA Etobicoke Hotel Program,1163,SSHA Etobicoke Hotel Program,,,,,15391,SSHA Recovery Program,Mixed Adult,Emergency,Isolation/Recovery Site,COVID-19 Response,54,Room Based Capacity,,,,,,68.0,30.0,48.0,20.0,0.0,,70.59
7513843,2022-01-09,1,City of Toronto,59,Scarborough Village Residence,1155,SSHA Scarborough Hotel Program 1,4584 Kingston Rd,M1E 2P4,Scarborough,ON,15673,SSHA Scarborough Hotel 1 - Mixed Adult Program,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,43,Room Based Capacity,,,,,,22.0,23.0,22.0,0.0,1.0,,100.0
7513844,2022-01-09,1,City of Toronto,59,Scarborough Village Residence,1151,SSHA Scarborough Village Residence,3306 Kingston Rd,M1M 1P8,Toronto,ON,14811,Scarborough Village Residence Main Program,Mixed Adult,Transitional,Shelter,Base Shelter and Overnight Services System,78,Bed Based Capacity,80.0,80.0,78.0,2.0,0.0,,,,,,97.5,
7513845,2022-01-09,1,City of Toronto,3,Seaton House,1154,SSHA Junction Place,731 Runnymede Rd,M6N 3V7,Toronto,ON,15171,Junction Place,Men,Emergency,Shelter,Base Shelter and Overnight Services System,46,Bed Based Capacity,46.0,50.0,46.0,0.0,4.0,,,,,,100.0,
7513846,2022-01-09,1,City of Toronto,3,Seaton House,1008,SSHA Seaton House,339 George St,M5A 2N2,Toronto,ON,11812,Seaton House - Annex Harm Reduction & Managed Alcohol Program,Men,Emergency,Shelter,Base Shelter and Overnight Services System,44,Bed Based Capacity,50.0,51.0,44.0,6.0,1.0,,,,,,88.0,
7513847,2022-01-09,1,City of Toronto,3,Seaton House,1008,SSHA Seaton House,339 George St,M5A 2N2,Toronto,ON,15051,Seaton House - Fourth Floor Program,Men,Emergency,Shelter,Base Shelter and Overnight Services System,72,Bed Based Capacity,72.0,81.0,72.0,0.0,9.0,,,,,,100.0,
7513848,2022-01-09,1,City of Toronto,3,Seaton House,1008,SSHA Seaton House,339 George St,M5A 2N2,Toronto,ON,11811,Seaton House - Hostel Program,Men,Emergency,Shelter,Base Shelter and Overnight Services System,48,Bed Based Capacity,48.0,72.0,48.0,0.0,24.0,,,,,,100.0,
7513849,2022-01-09,1,City of Toronto,3,Seaton House,1008,SSHA Seaton House,339 George St,M5A 2N2,Toronto,ON,15191,Seaton House - Infirmary Bedded Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,18,Bed Based Capacity,22.0,22.0,18.0,4.0,0.0,,,,,,81.82,
7513850,2022-01-09,1,City of Toronto,3,Seaton House,1008,SSHA Seaton House,339 George St,M5A 2N2,Toronto,ON,14371,Seaton House - O'Neill Harm Reduction Program,Men,Emergency,Shelter,Base Shelter and Overnight Services System,11,Bed Based Capacity,12.0,15.0,11.0,1.0,3.0,,,,,,91.67,
7513851,2022-01-09,1,City of Toronto,3,Seaton House,1190,SSHA Downtown Response Program,76 Church St,M5C 2G1,Toronto,ON,15751,Seaton House Hostel Response Program,Men,Emergency,Shelter,COVID-19 Response,44,Bed Based Capacity,44.0,55.0,44.0,0.0,11.0,,,,,,100.0,
7513852,2022-01-09,1,City of Toronto,6,Streets To Homes,1004,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,M5V 2H3,Toronto,ON,16171,Streets to Homes - 129 Peter Street - Warming Centre,Mixed Adult,Emergency,Warming Centre,Winter Programs,11,Bed Based Capacity,15.0,15.0,11.0,4.0,0.0,,,,,,73.33,
7513853,2022-01-09,1,City of Toronto,6,Streets To Homes,1004,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,M5V 2H3,Toronto,ON,12952,Streets to Homes Bedded Program,Mixed Adult,Transitional,Shelter,Base Shelter and Overnight Services System,13,Bed Based Capacity,13.0,27.0,13.0,0.0,14.0,,,,,,100.0,
7513854,2022-01-09,1,City of Toronto,4,Women's Residence,1124,SSHA Downtown Hotel Program,77 Ryerson Ave,M5T 2V4,Toronto,ON,14631,SSHA Downtown Hotel Women's Program,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,65,Room Based Capacity,,,,,,61.0,71.0,60.0,1.0,10.0,,98.36
7513855,2022-01-09,1,City of Toronto,4,Women's Residence,1005,SSHA Womens' Residence,674 Dundas St W,M5H 1H9,Toronto,ON,12471,Women's Residence Extreme Weather Program,Women,Emergency,Shelter,Base Shelter and Overnight Services System,4,Bed Based Capacity,4.0,4.0,4.0,0.0,0.0,,,,,,100.0,
7513856,2022-01-09,1,City of Toronto,4,Women's Residence,1005,SSHA Womens' Residence,674 Dundas St W,M5H 1H9,Toronto,ON,11798,Womens' Residence - Main Program,Women,Emergency,Shelter,Base Shelter and Overnight Services System,73,Bed Based Capacity,73.0,74.0,73.0,0.0,1.0,,,,,,100.0,
7513857,2022-01-09,13,Cornerstone Place,21,Cornerstone Place,1028,Cornerstone Place,616 Vaughan Rd,M6C 2R5,Toronto,ON,11971,Cornerstone Place,Men,Emergency,Shelter,Base Shelter and Overnight Services System,21,Bed Based Capacity,21.0,21.0,21.0,0.0,0.0,,,,,,100.0,
7513858,2022-01-09,12,Covenant House Toronto,20,Covenant House,1026,Covenant House Gerrard St E,20 Gerrard St E,M5B 2P3,Toronto,ON,13371,Covenant House -  Transitional Safe Beds for women,Youth,Transitional,Shelter,Base Shelter and Overnight Services System,1,Bed Based Capacity,2.0,2.0,1.0,1.0,0.0,,,,,,50.0,
7513859,2022-01-09,12,Covenant House Toronto,20,Covenant House,1198,Multiple Youth Agencies Downtown Hotel Program,92 Peter St,M5V 2G5,Toronto,ON,15551,Covenant House - Hotel Program,Youth,Emergency,Motel/Hotel Shelter,COVID-19 Response,40,Room Based Capacity,,,,,,40.0,42.0,40.0,0.0,2.0,,100.0
7513860,2022-01-09,12,Covenant House Toronto,20,Covenant House,1026,Covenant House Gerrard St E,20 Gerrard St E,M5B 2P3,Toronto,ON,11951,Covenant House Residence,Youth,Emergency,Shelter,Base Shelter and Overnight Services System,33,Bed Based Capacity,33.0,53.0,33.0,0.0,20.0,,,,,,100.0,
